,NOC,Total,Gold,Silver,Bronze
0,UnitedStates,126,40,44,42
1,China,91,40,27,24
2,Japan,45,20,12,13
3,Australia,53,18,19,16
4,France,64,16,26,22
5,Netherlands,34,15,7,12
6,GreatBritain,65,14,22,29
7,SouthKorea,32,13,9,10
8,Italy,40,12,13,15
9,Germany,33,12,13,8
10,NewZealand,20,10,7,3
11,Canada,27,9,7,11
12,Uzbekistan,13,8,2,3
13,Hungary,19,6,7,6
14,Spain,18,5,4,9
15,Sweden,11,4,4,3
16,Kenya,11,4,2,5
17,Norway,8,4,1,3
18,Ireland,7,4,0,3
19,Brazil,20,3,7,10
20,Iran,12,3,6,3
21,Ukraine,12,3,5,4
22,Romania,9,3,4,2
23,Georgia,7,3,3,1
24,Belgium,10,3,1,6
25,Bulgaria,7,3,1,3
26,Serbia,5,3,1,1
27,CzechRepublic,5,3,0,2
28,Denmark,9,2,2,5
29,Azerbaijan,7,2,2,3
30,Croatia,7,2,2,3
31,Cuba,9,2,1,6
32,Bahrain,4,2,1,1
33,Slovenia,3,2,1,0
34,ChineseTaipei,7,2,0,5
35,Austria,5,2,0,3
36,HongKong,4,2,0,2
37,Philippines,4,2,0,2
38,Algeria,3,2,0,1
39,Indonesia,3,2,0,1
40,Israel,7,1,5,1
41,Poland,10,1,4,5
42,Kazakhstan,7,1,3,3
43,Jamaica,6,1,3,2
44,SouthAfrica,6,1,3,2
45,Thailand,6,1,3,2
46,Ethiopia,4,1,3,0
47,Switzerland,8,1,2,5
48,Ecuador,5,1,2,2
49,Portugal,4,1,2,1
50,Greece,8,1,1,6
51,Argentina,3,1,1,1
52,Egypt,3,1,1,1
53,Tunisia,3,1,1,1
54,Botswana,2,1,1,0
55,Chile,2,1,1,0
56,SaintLucia,2,1,1,0
57,Uganda,2,1,1,0
58,DominicanRepublic,3,1,0,2
59,Guatemala,2,1,0,1
60,Morocco,2,1,0,1
61,Dominica,1,1,0,0
62,Pakistan,1,1,0,0
63,Turkey,8,0,3,5
64,Mexico,5,0,3,2
65,Armenia,4,0,3,1
66,Colombia,4,0,3,1
67,Kyrgyzstan,6,0,2,4
68,NorthKorea,6,0,2,4
69,Lithuania,4,0,2,2
70,India,6,0,1,5
71,Moldova,4,0,1,3
72,Kosovo,2,0,1,1
73,Cyprus,1,0,1,0
74,Fiji,1,0,1,0
75,Jordan,1,0,1,0
76,Mongolia,1,0,1,0
77,Panama,1,0,1,0
78,Tajikistan,3,0,0,3
79,Albania,2,0,0,2
80,Grenada,2,0,0,2
81,Malaysia,2,0,0,2
82,PuertoRico,2,0,0,2
83,CaboVerde,1,0,0,1
84,IvoryCoast,1,0,0,1
85,Peru,1,0,0,1
86,Qatar,1,0,0,1
87,RefugeeOlympicTeam,1,0,0,1
88,Singapore,1,0,0,1
89,Slovakia,1,0,0,1
90,Zambia,1,0,0,1
