,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
United States,2,15,77,12,19,27,27,16,0,12,19,17,17,0,28,34,30,25,0,30,27,37,25,32,26,37,30,38,33,42
Greece,19,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,3,4,1,2,2,1,6
Germany,2,2,6,5,7,0,0,14,0,32,0,17,0,0,0,0,0,0,0,0,0,28,27,26,20,14,13,15,16,8
France,2,37,0,9,3,13,10,5,0,6,13,6,6,0,6,5,7,4,3,16,6,16,15,11,13,20,13,14,11,22
Great Britain,2,9,0,39,16,13,12,7,0,3,6,8,11,0,2,3,9,5,9,21,9,12,6,7,12,19,18,17,22,29
Hungary,3,2,1,2,3,0,4,0,0,5,12,16,7,0,5,12,16,13,15,0,6,7,10,3,3,2,6,4,7,6
Austria,2,3,1,1,2,0,1,1,0,5,3,1,2,0,0,2,2,1,1,1,0,0,2,0,1,2,0,1,5,3
Australia,0,3,1,0,0,1,2,1,0,1,5,3,14,0,10,5,2,4,5,12,5,11,23,17,17,17,12,10,22,16
Denmark,3,2,0,3,5,1,2,2,0,3,8,3,1,0,3,3,0,2,2,3,1,4,1,1,5,3,3,7,4,5
Switzerland,0,1,2,0,0,7,10,4,0,5,5,6,1,0,1,4,0,2,0,4,2,0,0,2,3,4,0,2,6,5
Mixed team,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,4,0,2,3,11,3,2,0,3,3,0,0,0,1,1,0,3,0,2,2,2,2,3,2,0,2,2,3,6
Italy,0,0,0,0,2,5,5,7,0,5,8,4,9,0,7,9,10,4,4,12,4,8,12,13,11,10,11,8,20,15
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,11,8,7,11,17,7,4,5,6
Canada,0,1,1,10,3,3,1,7,0,5,2,0,3,0,1,1,3,6,0,16,5,7,8,8,3,8,10,15,10,11
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,6,5,6,3,6,6,6,9
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,3,0,3,5,9,3,1,0,2,3,0,2,0,0,0,1,0,0,2,0,1,3,3,1,1,1,4,2,3
Netherlands,0,3,0,2,3,5,5,4,0,7,9,0,0,0,4,1,1,3,2,6,5,7,10,4,9,4,8,4,14,12
India,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,2,4,1,4,5
Bohemia,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,1,0,11,17,25,12,12,0,10,17,10,6,0,4,1,6,0,6,6,7,4,2,3,1,1,3,3,0,3
Australasia,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Empire,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,3,9,9,10,9,0,6,5,13,11,0,2,1,4,0,4,6,2,2,1,1,0,2,1,1,2,0
South Africa,0,0,0,0,0,3,1,2,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1,3,2,0,1,2,0,2
Estonia,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,1,0
Brazil,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,2,2,2,2,2,3,0,9,6,3,10,9,6,8,10
Japan,0,0,0,0,0,0,1,1,0,10,0,2,5,0,8,7,8,10,0,14,7,11,5,5,12,8,17,21,17,13
Czechoslovakia,0,0,0,0,0,2,5,2,0,1,3,3,1,0,3,4,2,4,9,0,2,1,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,2,1,1,0,2,8,5,1,3,0,4,5,5,7,3
Yugoslavia,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,2,3,4,7,5,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,2,1,0,3,1,2,1,0,0,2,0,0,0,0,1,1,1,2,4,4,2,0,2,1
Uruguay,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,1,3,0,5,1,1,4,0,10,11,9,13,15,0,9,10,5,3,5,2,6,6,5,5
Haiti,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,1,2,1
Romania,0,0,0,0,0,0,1,0,0,0,0,2,5,0,6,5,7,14,13,17,6,8,9,9,6,4,1,2,0,2
Egypt,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,4,1
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,2,4,0,2,3
Chile,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2
United States ,0,0,0,0,0,0,0,0,30,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,0,0,0,0,0,0,0,0,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Britain ,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia ,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
