,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
United States,11,19,76,23,26,41,45,22,0,24,38,40,32,0,36,45,33,34,0,83,36,37,44,37,36,36,48,46,39,40
Greece,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,4,6,0,0,3,2,1
Germany,6,4,4,3,5,0,0,10,0,38,0,0,0,0,0,0,0,0,0,0,0,33,20,13,13,16,11,17,10,12
France,5,27,0,5,7,9,13,6,0,7,10,6,4,0,1,7,2,2,6,5,6,8,15,13,11,7,11,10,10,16
Great Britain,2,15,1,56,10,14,9,3,0,4,3,1,6,0,4,5,4,3,5,5,5,5,1,11,9,19,29,27,22,14
Hungary,2,1,2,3,3,0,2,4,0,10,10,16,9,0,10,10,6,4,7,0,11,11,7,8,8,3,8,8,6,6
Austria,2,0,1,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,1,1,1,0,0,2,2,0,0,0,1,2
Australia,2,2,0,0,0,0,3,1,0,0,2,6,13,0,6,5,8,0,2,4,3,7,9,16,17,14,8,8,17,18
Denmark,1,1,0,0,1,3,2,3,0,0,5,2,1,0,2,1,1,1,2,0,2,1,4,2,2,2,2,2,3,2
Switzerland,1,6,1,0,0,2,7,7,0,4,5,2,0,0,1,0,0,1,2,0,0,1,4,1,1,2,2,3,3,1
Mixed team,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,6,0,1,2,14,3,0,0,0,2,2,0,0,2,0,0,0,1,1,0,0,2,0,1,2,0,2,3,3
Italy,0,3,0,2,3,13,8,7,0,9,8,8,8,0,10,3,5,2,8,14,6,6,13,13,10,8,8,8,10,12
Cuba,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,0,14,9,11,9,3,5,5,7,2
Canada,0,1,4,3,3,3,0,4,0,1,0,1,2,0,1,1,0,0,0,10,3,7,3,3,3,3,2,4,7,9
