,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020,2024
United States,7,14,78,12,19,27,27,18,0,21,27,19,25,0,26,28,31,35,0,61,31,34,32,24,39,39,26,37,41,44
Greece,18,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4,6,6,2,0,1,1,1
Germany,5,3,5,5,13,0,0,7,0,31,0,7,0,0,0,0,0,0,0,0,0,21,18,17,16,11,20,10,11,13
France,4,39,1,5,4,19,15,10,0,6,6,6,4,0,8,3,4,3,5,7,4,5,7,14,9,16,11,18,12,26
Great Britain,3,7,1,51,15,15,13,10,0,7,14,2,7,0,12,5,5,5,7,11,10,3,8,10,9,13,18,23,20,22
Hungary,1,2,1,4,2,0,3,5,0,1,5,10,10,0,7,10,13,5,10,0,6,12,4,6,6,5,4,3,7,7
Austria,1,3,1,0,2,0,3,0,0,7,0,1,0,0,0,2,1,0,2,1,0,2,1,1,4,1,0,0,1,0
Australia,0,0,3,0,0,2,1,2,0,0,6,2,8,0,2,7,7,1,2,8,6,9,9,25,16,15,15,11,7,19
Denmark,2,3,0,2,6,9,5,1,0,2,7,1,2,0,1,4,0,0,1,3,1,1,1,3,1,2,4,6,4,2
Switzerland,2,2,0,0,0,2,8,4,0,9,10,6,0,0,2,1,3,1,0,4,2,0,3,6,1,1,2,2,4,2
Mixed team,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,7,0,5,1,11,7,1,0,0,2,2,2,0,0,1,2,3,0,1,0,1,2,2,0,0,1,2,1,1
Italy,0,2,0,2,1,5,3,5,0,13,11,9,8,0,10,4,3,7,3,6,4,5,10,8,11,9,9,12,10,13
Cuba,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,4,7,0,0,6,8,11,7,10,3,2,3,1
Canada,0,0,1,3,2,3,3,4,0,3,1,2,1,0,2,3,2,5,0,18,2,4,11,3,6,9,6,3,7,7
Spain,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,3,2,1,7,6,3,11,11,10,4,8,4
Luxembourg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,0,2,0,3,2,9,2,2,0,3,3,2,0,0,0,1,1,1,0,1,3,4,2,3,0,5,1,0,2,1
Netherlands,0,2,0,0,0,2,1,9,0,4,2,5,0,0,4,3,1,2,1,2,2,6,5,9,9,5,6,7,12,7
India,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1
Bohemia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,6,25,20,13,6,0,5,11,13,5,0,2,1,6,1,3,11,4,7,4,5,2,4,4,6,6,4
Australasia,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Empire,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,1,8,10,13,8,0,6,7,3,1,0,0,2,1,2,1,2,1,2,2,1,2,1,2,0,0,0
South Africa,0,0,0,1,2,4,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,2,1,2,3,1,1,6,2,3
Estonia,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Brazil,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,1,3,6,2,4,5,6,6,7
Japan,0,0,0,0,0,2,0,2,0,4,0,6,10,0,5,7,8,6,0,8,3,8,6,8,9,8,14,8,14,12
Czechoslovakia,0,0,0,0,0,0,4,5,0,5,2,3,4,0,6,2,4,2,3,0,3,2,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,2,0,2,2,2,9,6,7
Yugoslavia,0,0,0,0,0,0,0,1,0,1,2,2,3,0,1,3,1,3,3,4,4,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,3,3,0,2,3,2,1,0,1,0,1,0,0,0,1,0,2,2,0,0,1,1,1,1
Uruguay,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Poland,0,0,0,0,0,0,1,1,0,4,0,2,4,0,6,2,5,6,14,0,5,6,5,5,2,5,2,3,5,4
Haiti,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,2
Romania,0,0,0,0,0,0,0,0,0,1,0,1,3,0,4,6,6,9,6,16,11,6,7,6,5,1,4,1,3,4
Egypt,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,1
Ireland,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2,0,0
Chile,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0
United States ,0,0,0,0,0,0,0,0,36,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy ,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France ,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden ,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan ,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary ,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany ,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland ,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Britain ,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland ,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia ,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada ,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands ,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia ,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark ,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland ,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,0,1,0,0,0,1,2,1,0,3,1,1,3,2,3
Latvia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,1,3,0,1,0,2,3,0,3,3,0,3
Jamaica,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,1,0,1,2,3,3,6,1,4,5,3,1,3
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Ceylon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
