,NOC,Sport,Year,Gold,Silver,Bronze,Total
0,AFG,Taekwondo,2008,0,0,1,1
1,AFG,Taekwondo,2012,0,0,1,1
2,AHO,Sailing,1988,0,1,0,1
3,AIN,Rowing,2024,0,1,0,1
4,AIN,Tennis,2024,0,2,0,2
5,AIN,Trampoline Gymnastics,2024,1,1,0,2
6,AIN,Weightlifting,2024,0,0,1,1
7,ALB,Wrestling,2024,0,0,2,2
8,ALG,Boxing,1984,0,0,2,2
9,ALG,Boxing,1992,0,0,1,1
10,ALG,Athletics,1992,1,0,0,1
11,ALG,Boxing,1996,1,0,1,2
12,ALG,Athletics,1996,1,0,0,1
13,ALG,Boxing,2000,0,0,1,1
14,ALG,Athletics,2000,1,1,2,4
15,ALG,Judo,2008,0,1,1,2
16,ALG,Athletics,2012,1,0,0,1
17,ALG,Athletics,2016,0,2,0,2
18,ALG,Boxing,2024,1,0,0,1
19,ALG,Athletics,2024,0,0,1,1
20,ALG,Artistic Gymnastics,2024,1,0,0,1
21,ANZ,Boxing,1908,0,1,0,1
22,ANZ,Athletics,1908,0,0,1,1
23,ANZ,Rugby,1908,15,0,0,15
24,ANZ,Swimming,1908,0,1,1,2
25,ANZ,Tennis,1912,0,0,1,1
26,ANZ,Swimming,1912,5,2,2,9
27,ARG,Boxing,1924,0,2,2,4
28,ARG,Athletics,1924,0,1,0,1
29,ARG,Polo,1924,5,0,0,5
30,ARG,Boxing,1928,2,2,0,4
31,ARG,Swimming,1928,1,0,0,1
32,ARG,Fencing,1928,0,0,5,5
33,ARG,Football,1928,0,16,0,16
34,ARG,Boxing,1932,2,1,0,3
35,ARG,Athletics,1932,1,0,0,1
36,ARG,Rowing,1936,0,0,2,2
37,ARG,Boxing,1936,1,1,2,4
38,ARG,Swimming,1936,0,1,0,1
39,ARG,Polo,1936,4,0,0,4
40,ARG,Sailing,1948,0,5,0,5
41,ARG,Boxing,1948,2,0,1,3
42,ARG,Athletics,1948,1,1,0,2
43,ARG,Shooting,1948,0,1,0,1
44,ARG,Rowing,1952,2,0,0,2
45,ARG,Weightlifting,1952,0,0,1,1
46,ARG,Boxing,1952,0,1,1,2
47,ARG,Athletics,1952,0,1,0,1
48,ARG,Weightlifting,1956,0,1,0,1
49,ARG,Boxing,1956,0,0,1,1
50,ARG,Sailing,1960,0,3,0,3
51,ARG,Boxing,1960,0,0,1,1
52,ARG,Equestrianism,1964,0,1,0,1
53,ARG,Rowing,1968,0,0,1,1
54,ARG,Boxing,1968,0,0,1,1
55,ARG,Rowing,1972,0,1,0,1
56,ARG,Tennis,1988,0,1,0,1
57,ARG,Volleyball,1988,0,0,12,12
58,ARG,Tennis,1992,0,0,2,2
59,ARG,Sailing,1996,0,1,0,1
60,ARG,Boxing,1996,0,0,1,1
61,ARG,Football,1996,0,18,0,18
62,ARG,Sailing,2000,0,1,3,4
63,ARG,Hockey,2000,0,16,0,16
64,ARG,Sailing,2004,0,0,2,2
65,ARG,Tennis,2004,0,0,2,2
66,ARG,Swimming,2004,0,0,1,1
67,ARG,Football,2004,16,0,0,16
68,ARG,Hockey,2004,0,0,16,16
69,ARG,Basketball,2004,12,0,0,12
70,ARG,Sailing,2008,0,0,2,2
71,ARG,Judo,2008,0,0,1,1
72,ARG,Football,2008,18,0,0,18
73,ARG,Hockey,2008,0,0,16,16
74,ARG,Basketball,2008,0,0,12,12
75,ARG,Cycling,2008,2,0,0,2
76,ARG,Taekwondo,2012,1,0,0,1
77,ARG,Sailing,2012,0,0,2,2
78,ARG,Tennis,2012,0,0,1,1
79,ARG,Hockey,2012,0,15,0,15
80,ARG,Sailing,2016,2,0,0,2
81,ARG,Tennis,2016,0,1,0,1
82,ARG,Judo,2016,1,0,0,1
83,ARG,Hockey,2016,18,0,0,18
84,ARG,Volleyball,2020,0,0,12,12
85,ARG,Hockey,2020,0,18,0,18
86,ARG,Rugby Sevens,2020,0,0,13,13
87,ARG,Sailing,2024,0,2,0,2
88,ARG,Hockey,2024,0,0,16,16
89,ARG,Cycling BMX Freestyle,2024,1,0,0,1
90,ARM,Wrestling,1996,1,1,0,2
91,ARM,Weightlifting,2000,0,0,1,1
92,ARM,Weightlifting,2008,0,0,3,3
93,ARM,Wrestling,2008,0,0,2,2
94,ARM,Boxing,2008,0,0,1,1
95,ARM,Weightlifting,2012,0,0,1,1
96,ARM,Wrestling,2012,0,1,1,2
97,ARM,Weightlifting,2016,0,2,0,2
98,ARM,Wrestling,2016,1,1,0,2
99,ARM,Weightlifting,2020,0,1,0,1
100,ARM,Wrestling,2020,0,1,0,1
101,ARM,Boxing,2020,0,0,1,1
102,ARM,Artistic Gymnastics,2020,0,0,1,1
103,ARM,Weightlifting,2024,0,1,0,1
104,ARM,Wrestling,2024,0,1,1,2
105,ARM,Artistic Gymnastics,2024,0,1,0,1
106,AUS,Tennis,1896,0,0,1,1
107,AUS,Athletics,1896,2,0,0,2
108,AUS,Athletics,1900,1,0,3,4
109,AUS,Swimming,1900,2,0,0,2
110,AUS,Swimming,1904,0,3,1,4
111,AUS,Athletics,1906,0,0,2,2
112,AUS,Swimming,1906,0,0,1,1
113,AUS,Athletics,1920,0,1,0,1
114,AUS,Swimming,1920,0,5,1,6
115,AUS,Athletics,1924,1,0,0,1
116,AUS,Swimming,1924,1,5,2,8
117,AUS,Diving,1924,1,0,0,1
118,AUS,Rowing,1928,1,0,0,1
119,AUS,Swimming,1928,0,2,0,2
120,AUS,Cycling,1928,0,0,1,1
121,AUS,Rowing,1932,1,0,0,1
122,AUS,Wrestling,1932,0,0,1,1
123,AUS,Swimming,1932,1,1,0,2
124,AUS,Cycling,1932,1,0,0,1
125,AUS,Athletics,1936,0,0,1,1
126,AUS,Rowing,1948,1,0,0,1
127,AUS,Wrestling,1948,0,1,1,2
128,AUS,Athletics,1948,1,6,2,9
129,AUS,Swimming,1948,0,2,2,4
130,AUS,Rowing,1952,0,1,9,10
131,AUS,Weightlifting,1952,0,0,1,1
132,AUS,Athletics,1952,3,0,1,4
133,AUS,Swimming,1952,1,0,0,1
134,AUS,Cycling,1952,3,1,0,4
135,AUS,Sailing,1956,0,2,3,5
136,AUS,Rowing,1956,0,1,11,12
137,AUS,Boxing,1956,0,0,1,1
138,AUS,Athletics,1956,7,6,6,19
139,AUS,Swimming,1956,19,4,2,25
140,AUS,Cycling,1956,2,0,1,3
141,AUS,Canoeing,1956,0,0,2,2
142,AUS,Boxing,1960,0,0,2,2
143,AUS,Athletics,1960,1,2,1,4
144,AUS,Swimming,1960,5,21,8,34
145,AUS,Equestrianism,1960,5,1,0,6
146,AUS,Sailing,1964,3,0,0,3
147,AUS,Athletics,1964,1,1,4,6
148,AUS,Judo,1964,0,0,1,1
149,AUS,Swimming,1964,4,5,11,20
150,AUS,Hockey,1964,0,0,14,14
151,AUS,Rowing,1968,0,9,0,9
152,AUS,Athletics,1968,2,3,1,6
153,AUS,Swimming,1968,3,9,6,18
154,AUS,Equestrianism,1968,0,0,4,4
155,AUS,Hockey,1968,0,14,0,14
156,AUS,Sailing,1972,5,0,0,5
157,AUS,Athletics,1972,0,2,0,2
158,AUS,Swimming,1972,6,2,2,10
159,AUS,Cycling,1972,0,3,0,3
160,AUS,Sailing,1976,0,0,3,3
161,AUS,Swimming,1976,0,0,1,1
162,AUS,Equestrianism,1976,0,0,4,4
163,AUS,Hockey,1976,0,15,0,15
164,AUS,Athletics,1980,0,1,0,1
165,AUS,Swimming,1980,6,0,5,11
166,AUS,Canoeing,1980,0,1,0,1
167,AUS,Sailing,1984,0,0,2,2
168,AUS,Rowing,1984,0,4,14,18
169,AUS,Weightlifting,1984,1,1,0,2
170,AUS,Athletics,1984,1,1,1,3
171,AUS,Swimming,1984,1,8,11,20
172,AUS,Shooting,1984,0,0,1,1
173,AUS,Cycling,1984,4,0,0,4
174,AUS,Canoeing,1984,0,0,2,2
175,AUS,Tennis,1988,0,0,2,2
176,AUS,Boxing,1988,0,1,0,1
177,AUS,Athletics,1988,1,1,0,2
178,AUS,Swimming,1988,1,1,1,3
179,AUS,Hockey,1988,16,0,0,16
180,AUS,Cycling,1988,0,2,6,8
181,AUS,Canoeing,1988,0,1,2,3
182,AUS,Sailing,1992,0,0,3,3
183,AUS,Rowing,1992,6,0,0,6
184,AUS,Tennis,1992,0,0,2,2
185,AUS,Athletics,1992,0,0,2,2
186,AUS,Swimming,1992,1,3,5,9
187,AUS,Equestrianism,1992,5,0,0,5
188,AUS,Hockey,1992,0,16,0,16
189,AUS,Cycling,1992,1,7,0,8
190,AUS,Canoeing,1992,1,1,4,6
191,AUS,Sailing,1996,0,2,2,4
192,AUS,Rowing,1996,6,2,8,16
193,AUS,Tennis,1996,2,0,0,2
194,AUS,Weightlifting,1996,0,0,1,1
195,AUS,Athletics,1996,0,2,0,2
196,AUS,Swimming,1996,2,9,14,25
197,AUS,Shooting,1996,2,0,1,3
198,AUS,Equestrianism,1996,4,0,0,4
199,AUS,Hockey,1996,16,0,16,32
200,AUS,Basketball,1996,0,0,12,12
201,AUS,Cycling,1996,0,1,8,9
202,AUS,Canoeing,1996,0,0,5,5
203,AUS,Beach Volleyball,1996,0,0,2,2
204,AUS,Softball,1996,0,0,15,15
205,AUS,Taekwondo,2000,1,1,0,2
206,AUS,Sailing,2000,4,2,1,7
207,AUS,Rowing,2000,0,15,6,21
208,AUS,Tennis,2000,0,2,0,2
209,AUS,Athletics,2000,1,2,0,3
210,AUS,Judo,2000,0,0,1,1
211,AUS,Swimming,2000,15,27,4,46
212,AUS,Shooting,2000,1,1,1,3
213,AUS,Equestrianism,2000,4,1,0,5
214,AUS,Hockey,2000,16,0,16,32
215,AUS,Basketball,2000,0,12,0,12
216,AUS,Cycling,2000,2,2,5,9
217,AUS,Diving,2000,0,0,4,4
218,AUS,Canoeing,2000,0,2,1,3
219,AUS,Beach Volleyball,2000,2,0,0,2
220,AUS,Softball,2000,0,0,15,15
221,AUS,Archery,2000,1,0,0,1
222,AUS,Trampolining,2000,0,1,0,1
223,AUS,Triathlon,2000,0,1,0,1
224,AUS,Water Polo,2000,13,0,0,13
225,AUS,Rowing,2004,2,4,13,19
226,AUS,Tennis,2004,0,0,1,1
227,AUS,Athletics,2004,0,4,2,6
228,AUS,Swimming,2004,17,11,3,31
229,AUS,Shooting,2004,1,0,1,2
230,AUS,Hockey,2004,16,0,0,16
231,AUS,Basketball,2004,0,12,0,12
232,AUS,Cycling,2004,12,2,3,17
233,AUS,Diving,2004,1,1,7,9
234,AUS,Canoeing,2004,0,3,0,3
235,AUS,Softball,2004,0,15,0,15
236,AUS,Archery,2004,0,0,1,1
237,AUS,Triathlon,2004,0,1,0,1
238,AUS,Baseball,2004,0,24,0,24
239,AUS,Sailing,2008,4,2,0,6
240,AUS,Rowing,2008,4,4,0,8
241,AUS,Athletics,2008,1,2,1,4
242,AUS,Swimming,2008,19,13,22,54
243,AUS,Shooting,2008,0,0,1,1
244,AUS,Equestrianism,2008,0,5,0,5
245,AUS,Hockey,2008,0,0,17,17
246,AUS,Basketball,2008,0,12,0,12
247,AUS,Cycling,2008,0,1,0,1
248,AUS,Diving,2008,1,2,0,3
249,AUS,Canoeing,2008,1,1,6,8
250,AUS,Softball,2008,0,0,15,15
251,AUS,Triathlon,2008,1,0,1,2
252,AUS,Water Polo,2008,0,0,13,13
253,AUS,Sailing,2012,5,3,0,8
254,AUS,Rowing,2012,0,8,5,13
255,AUS,Athletics,2012,1,2,0,3
256,AUS,Swimming,2012,7,17,8,32
257,AUS,Hockey,2012,0,0,16,16
258,AUS,Basketball,2012,0,0,12,12
259,AUS,Cycling,2012,1,5,4,10
260,AUS,Diving,2012,0,1,0,1
261,AUS,Canoeing,2012,4,1,0,5
262,AUS,Triathlon,2012,0,0,1,1
263,AUS,Water Polo,2012,0,0,13,13
264,AUS,Sailing,2016,1,6,0,7
265,AUS,Rowing,2016,1,8,0,9
266,AUS,Athletics,2016,0,1,1,2
267,AUS,Swimming,2016,7,14,11,32
268,AUS,Shooting,2016,1,0,0,1
269,AUS,Equestrianism,2016,0,0,4,4
270,AUS,Cycling,2016,0,5,1,6
271,AUS,Rugby Sevens,2016,12,0,0,12
272,AUS,Diving,2016,0,0,2,2
273,AUS,Canoeing,2016,0,0,3,3
274,AUS,Archery,2016,0,0,3,3
275,AUS,Modern Pentathlon,2016,1,0,0,1
276,AUS,Sailing,2020,3,0,0,3
277,AUS,Rowing,2020,8,0,8,16
278,AUS,Tennis,2020,0,0,2,2
279,AUS,Boxing,2020,0,0,1,1
280,AUS,Athletics,2020,0,1,2,3
281,AUS,Swimming,2020,20,3,30,53
282,AUS,Hockey,2020,0,18,0,18
